product_id,category,brand,price
15100220,,,882.88
1004869,electronics.smartphone,xiaomi,423.95
27400040,,oral-b,17.99
28704388,apparel.shoes.keds,asics,51.48
3500303,,arnica,63.71
12703421,,cordiant,59.2
8901605,kids.toys,chicco,74.62
15100214,,,746.48
10800074,,redmond,41.16
2700984,appliances.kitchen.refrigerators,samsung,539.1
2701639,appliances.kitchen.refrigerators,indesit,257.15
1004209,electronics.smartphone,samsung,92.64
1004415,electronics.smartphone,bq,42.45
28705258,apparel.shoes,respect,23.94
37900138,,vega,31.27
10800048,,redmond,66.29
15700176,,bts,231.64
17300555,,dior,99.1
12703015,,cordiant,42.99
2601543,,hansa,411.83
1004966,electronics.smartphone,oppo,257.38
1004284,electronics.smartphone,bq,52.74
26204088,,,242.22
13400134,,,86.21
19000265,,gran-stone,59.46
2700609,appliances.kitchen.refrigerators,indesit,310.37
26400672,,lucente,375.04
28101002,,,99.1
26300087,,lucente,244.02
1005102,electronics.smartphone,xiaomi,463.04
21400341,electronics.clocks,,133.85
13103001,,trebl,55.6
1004858,electronics.smartphone,samsung,134.42
15100288,,,656.39
17000038,computers.desktop,polaris,74.6
12703419,,cordiant,53.54
4300378,,polaris,40.93
5600043,appliances.environment.air_heater,electrolux,71.82
39600005,,intex,64.22
21405154,electronics.clocks,,350.07
47100001,,celestron,120.98
1307365,computers.notebook,lenovo,373.21
2702277,appliances.kitchen.refrigerators,lg,465.7
26402783,,,51.22
41300118,,arena,48.65
1005130,electronics.smartphone,apple,1619.09
26204062,,,244.28
16400204,,granhel,181.21
26500138,,lucente,127.67
8800773,electronics.telephone,nokia,73.57
1004246,electronics.smartphone,apple,736.18
13800054,furniture.bathroom.toilet,santeri,54.42
3300314,,moulinex,77.2
4100305,,sony,470.02
41300138,,arena,411.59
6200690,appliances.environment.air_heater,oasis,37.81
3600163,appliances.kitchen.washer,indesit,179.67
12300632,construction.tools.drill,bosch,46.28
6000229,auto.accessories.alarm,starline,138.23
3600661,appliances.kitchen.washer,samsung,295.49
1004599,electronics.smartphone,nokia,257.38
12800417,,kingston,5.12
34800153,,,21.42
3700766,appliances.environment.vacuum,samsung,128.45
1005165,electronics.smartphone,xiaomi,321.5
15100100,,,437.33
5100337,electronics.clocks,apple,311.87
4804409,electronics.audio.headphone,elari,66.87
4804055,electronics.audio.headphone,apple,189.91
1005008,electronics.smartphone,xiaomi,103.08
8400069,apparel.sock,,21.85
2701646,appliances.kitchen.refrigerators,indesit,270.02
5700619,auto.accessories.player,jvc,46.33
1004625,electronics.smartphone,fly,43.73
19400031,,candy,669.23
15700108,,,145.43
1004833,electronics.smartphone,samsung,174.76
15100095,,sv,1029.37
1003363,electronics.smartphone,apple,535.38
12600003,appliances.kitchen.grill,maxwell,69.24
1201496,electronics.tablet,prestigio,51.22
15300165,,transcend,6.12
26402365,,lucente,103.73
15700204,,sv,257.15
1002524,electronics.smartphone,apple,515.67
1307301,computers.notebook,lenovo,475.89
12300066,construction.tools.drill,bosch,123.56
34800167,,,23.17
22700076,,stels,34.49
2701657,appliances.kitchen.refrigerators,beko,257.04
45600377,apparel.shoes,,90.09
19002624,,gran-stone,79.51
26500134,,lucente,84.69
1004530,electronics.smartphone,samsung,396.15
4600542,appliances.kitchen.dishwasher,beko,300.85
26300080,,lucente,403.87
31501044,,luminarc,102.71
